guard	expected_message	fired	message_matched	verdict	said
assign: an unassigned results directory	rule T6	1	1	fired	[FAIL] results/2026-08-18_091322_itpr1_itpr2_itpr3 is neither assigned to a chapter nor listed in ASSIGNMENT_EXCLUDED (rule T6)
assign: an assignment with no directory	does not exist	1	1	fired	[FAIL] results/no_such_directory is assigned but does not exist
figures: a declared figure with no file	missing	1	1	fired	[FAIL] receptor_overview: missing docs/figures/no_such_figure.png
figures: a slug declared twice	declared more than once	1	1	fired	[FAIL] slug 'receptor_overview' is declared more than once
figures: a committed figure neither placed nor excluded	neither placed in the thesis nor listed	1	1	fired	[FAIL] results/2026-08-18_091322_itpr1_itpr2_itpr3/figures/length_histogram.png is committed under a chapter's results tree but is neither placed in the thesis nor listed in UNPLACED
stitch: a missing chapter file	missing chapter file	1	1	fired	[FAIL] missing chapter file thesis/03_separation.md
stitch: a declared figure nothing places	no chapter places it	1	1	fired	[FAIL] tree_ml_rooted is declared for chapter 6 but no chapter places it
stitch: a figure placed in the wrong chapter	which is declared for	1	1	fired	[FAIL] thesis/05_eukaryote_range.md places tree_ml_rooted, which is declared for chapter 6 (thesis/06_phylogeny.md)
stitch: a reference to an unplaced figure	never placed	1	1	fired	[FAIL] {fig:no_such_slug} is referenced but the figure is never placed
refs: a cited key with no reference row	no row in references.tsv	1	1	fired	[FAIL] citations: 'cited keys with no row in references.tsv: R999'
refs: a new reference cited without an audit row	no verified audit row	1	1	fired	[FAIL] citations: 'cited keys added after the frozen baseline with no verified audit row: R160'
refs: a reference audited and never cited	never cited	1	1	fired	[FAIL] citations: 'references added for the thesis and never cited: R160'
claims: a number the table does not produce	expected '999999'	1	1	fired	[FAIL] T01 19 atomic literature claims were audited: expected '999999', found '19'
claims: a claim its chapter does not state	does not state	1	1	fired	[FAIL] TX a number chapter 1 does not state: expected '15421', found '15421' (chapter 1 does not state '15421' — either the number is missing from the text or the claim is padding)
pdf: a glyph the document font lacks	missing characters	1	1	fired	[s25 pdf] 1 distinct missing characters: the document font lacks a glyph the text uses
prose: an em-dash in a chapter source	em-dash	1	1	fired	[FAIL] 01_introduction.md: 1 em-dash(es) in a chapter source
prose: a legend that says the same thing twice	says the same thing twice	1	1	fired	[FAIL] 01_introduction.md: legend gating_logic says the same thing twice (5 shared words, 6 shared runs)
prose: a legend that restates the paragraph beside it	restates the paragraph	1	1	fired	[FAIL] 01_introduction.md: legend domain_architecture restates the paragraph after it (8 shared runs)
prose: a legend that opens without a finite verb (R1)	opens without a finite verb	1	1	fired	[FAIL] 01_introduction.md: legend gating_logic opens without a finite verb (R1): 'The logic of the channel, drawn as a diagram.'
prose: a legend sentence with no finite verb (R2)	sentence with no finite verb	1	1	fired	[FAIL] 01_introduction.md: legend gating_logic has a sentence with no finite verb (R2): 'Each panel against its own control, by class.'
prose: a bold lead-in with no finite verb (R1b)	lead-in has no finite verb	1	1	fired	[FAIL] 01_introduction.md: bold lead-in has no finite verb (R1b): 'The receptor, in outline.'
prose: a figure no sentence of its chapter refers to (R3)	no sentence of chapter	1	1	fired	[FAIL] 01_introduction.md: figure channel_structure is placed but no sentence of chapter 1 refers to it (R3)
pdf: a legend set as body text (R4)	not wrapped	1	1	fired	[FAIL] legend not wrapped in its own typography: '**Figure 1.1.** A legend.'
figure: two labels that overlap (R5)	overlaps	1	1	fired	text 'the first label sits here' overlaps text 'the second label sits here too' (at x=0.51, y=0.51 of the canvas)
figure: an annotation anchored outside its axes (R5)	not drawn	1	1	fired	text 'this note points outside' is not drawn: its anchor lies outside the axes
figure: a label clipped by its axes (R5)	clipped	1	1	fired	RuntimeError: guard_clipped: 1 figure-text problem(s)
figure: a panel title with no finite verb (R2)	no finite verb	1	1	fired	title has no finite verb: 'the count per genome, by class'
figure: a panel title crowding the next panel (R5)	pt clear of	1	1	fired	title 'the first panel has a long title' has less than 3 pt clear of title 'this is b'
figure: a panel title running into the next panel (R5)	runs into another panel	1	1	fired	title 'the title of this panel runs well across the next…' runs into another panel's area
figure: a legend drawn over its data (R5)	drawn over	1	1	fired	legend 'the keyed line' is drawn over 41 point(s) of the data it keys
