set	a	b	dN	dS	omega	saturated
ITPR1	T1_basal_Chilo	T1_Danio_rerio	0.0902	8.1935	0.0110087	1
ITPR1	T1_Danio_rerio2	T1_Danio_rerio	0.0772	3.4773	0.0222011	1
ITPR1	T1_Danio_rerio2	T1_basal_Chilo	0.0709	8.4496	0.00839093	1
ITPR1	T1_Bos_tauru	T1_Danio_rerio	0.0891	9.3169	0.00956327	1
ITPR1	T1_Bos_tauru	T1_basal_Chilo	0.0521	3.9284	0.0132624	1
ITPR1	T1_Bos_tauru	T1_Danio_rerio2	0.0632	52.6025	0.00120146	1
ITPR1	T1_Somnio_micro	T1_Danio_rerio	0.1067	9.3848	0.0113694	1
ITPR1	T1_Somnio_micro	T1_basal_Chilo	0.0286	0.4955	0.0577195	0
ITPR1	T1_Somnio_micro	T1_Danio_rerio2	0.0884	4.7341	0.018673	1
ITPR1	T1_Somnio_micro	T1_Bos_tauru	0.0696	3.3473	0.0207929	1
ITPR1	T1_Xenopu_tropi	T1_Danio_rerio	0.0881	9.865	0.00893056	1
ITPR1	T1_Xenopu_tropi	T1_basal_Chilo	0.0611	9.5753	0.006381	1
ITPR1	T1_Xenopu_tropi	T1_Danio_rerio2	0.0717	12.1808	0.00588631	1
ITPR1	T1_Xenopu_tropi	T1_Bos_tauru	0.0464	4.9205	0.00942994	1
ITPR1	T1_Xenopu_tropi	T1_Somnio_micro	0.0796	13.1216	0.00606633	1
ITPR1	T1_Latime_chalu	T1_Danio_rerio	0.1024	26.0078	0.00393728	1
ITPR1	T1_Latime_chalu	T1_basal_Chilo	0.0705	2.9143	0.0241911	1
ITPR1	T1_Latime_chalu	T1_Danio_rerio2	0.087	68.7316	0.00126579	1
ITPR1	T1_Latime_chalu	T1_Bos_tauru	0.068	3.6034	0.0188711	1
ITPR1	T1_Latime_chalu	T1_Somnio_micro	0.0887	2.3678	0.0374609	1
ITPR1	T1_Latime_chalu	T1_Xenopu_tropi	0.0761	5.7209	0.0133021	1
ITPR1	T1_Gallus_gallu	T1_Danio_rerio	0.0854	13.1731	0.00648291	1
ITPR1	T1_Gallus_gallu	T1_basal_Chilo	0.0484	2.7367	0.0176855	1
ITPR1	T1_Gallus_gallu	T1_Danio_rerio2	0.0608	13.8356	0.00439446	1
ITPR1	T1_Gallus_gallu	T1_Bos_tauru	0.0167	1.8388	0.00908201	1
ITPR1	T1_Gallus_gallu	T1_Somnio_micro	0.0659	2.8005	0.0235315	1
ITPR1	T1_Gallus_gallu	T1_Xenopu_tropi	0.0439	12.5412	0.00350046	1
ITPR1	T1_Gallus_gallu	T1_Latime_chalu	0.063	2.3661	0.0266261	1
ITPR1	T1_Chanos_chano2	T1_Danio_rerio	0.0353	1.8238	0.0193552	1
ITPR1	T1_Chanos_chano2	T1_basal_Chilo	0.0856	66.8123	0.0012812	1
ITPR1	T1_Chanos_chano2	T1_Danio_rerio2	0.0742	3.9153	0.0189513	1
ITPR1	T1_Chanos_chano2	T1_Bos_tauru	0.0837	74.8174	0.00111872	1
ITPR1	T1_Chanos_chano2	T1_Somnio_micro	0.1023	68.8744	0.00148531	1
ITPR1	T1_Chanos_chano2	T1_Xenopu_tropi	0.0831	6.2711	0.0132513	1
ITPR1	T1_Chanos_chano2	T1_Latime_chalu	0.1006	67.1578	0.00149796	1
ITPR1	T1_Chanos_chano2	T1_Gallus_gallu	0.0813	67.4781	0.00120484	1
ITPR1	T1_Danio_rerio3	T1_Danio_rerio	0	0		0
ITPR1	T1_Danio_rerio3	T1_basal_Chilo	0.0902	8.1925	0.0110101	1
ITPR1	T1_Danio_rerio3	T1_Danio_rerio2	0.0772	3.4773	0.0222011	1
ITPR1	T1_Danio_rerio3	T1_Bos_tauru	0.0891	9.3166	0.00956357	1
ITPR1	T1_Danio_rerio3	T1_Somnio_micro	0.1067	9.3849	0.0113693	1
ITPR1	T1_Danio_rerio3	T1_Xenopu_tropi	0.0881	9.8604	0.00893473	1
ITPR1	T1_Danio_rerio3	T1_Latime_chalu	0.1023	25.6309	0.00399128	1
ITPR1	T1_Danio_rerio3	T1_Gallus_gallu	0.0854	13.1685	0.00648517	1
ITPR1	T1_Danio_rerio3	T1_Chanos_chano2	0.0353	1.8238	0.0193552	1
ITPR1	T1_Chanos_chano	T1_Danio_rerio	0.0712	2.9358	0.0242523	1
ITPR1	T1_Chanos_chano	T1_basal_Chilo	0.0622	11.1657	0.00557063	1
ITPR1	T1_Chanos_chano	T1_Danio_rerio2	0.0191	1.9103	0.00999843	1
ITPR1	T1_Chanos_chano	T1_Bos_tauru	0.0546	4.9781	0.010968	1
ITPR1	T1_Chanos_chano	T1_Somnio_micro	0.0785	7.2494	0.0108285	1
ITPR1	T1_Chanos_chano	T1_Xenopu_tropi	0.0634	5.7503	0.0110255	1
