kind	number	panel_files	legend_panel_letters	legend_present	figures_present	note
main	1	1		True	True	
main	2	1		True	True	
main	3	1		True	True	
main	4	1	ab	True	True	
main	5	1	ab	True	True	
main	6	1		True	True	
main	7	1	ab	True	True	
extended_data	1	3	abc	True	True	
extended_data	2	3	abc	True	True	
extended_data	3	4	abcd	True	True	
extended_data	4	3	abc	True	True	
extended_data	5	3	abc	True	True	
extended_data	6	4	abcd	True	True	
extended_data	7	4	abcd	True	True	
extended_data	8	3	abc	True	True	
extended_data	9	4	abcd	True	True	
extended_data	10	4	abcd	True	True	
extended_data	11	4	abcd	True	True	
extended_data	12	3	abc	True	True	
extended_data	13	4	abcd	True	True	
extended_data	14	4	abcd	True	True	
extended_data	15	3	abc	True	True	
extended_data	16	4	abcd	True	True	
