ref_id	pmid	doi	year	journal	authors	title	role
R01	6605482	10.1038/306067a0	1983	Nature	Streb H, Irvine RF, Berridge MJ, Schulz I	Release of Ca2+ from a nonmitochondrial intracellular store in pancreatic acinar cells by inositol-1,4,5-trisphosphate	primary
R02	2554142	10.1038/342032a0	1989	Nature	Furuichi T, Yoshikawa S, Miyawaki A, Wada K, Maeda N, Mikoshiba K	Primary structure and functional expression of the inositol 1,4,5-trisphosphate-binding protein P400	primary
R03	2554143	10.1038/342087a0	1989	Nature	Ferris CD, Huganir RL, Supattapone S, Snyder SH	Purified inositol 1,4,5-trisphosphate receptor mediates calcium flux in reconstituted lipid vesicles	primary
R04	2554146	10.1038/342192a0	1989	Nature	Mignery GA, Sudhof TC, Takei K, De Camilli P	Putative receptor for inositol 1,4,5-trisphosphate similar to ryanodine receptor	primary
R05	12442173	10.1038/nature01268	2002	Nature	Bosanac I, Alattia JR, Mal TK, Chan J, Talarico S, Tong FK, Tong KI, Yoshikawa F, Furuichi T, Iwai M, Michikawa T, Mikoshiba K, Ikura M	Structure of the inositol 1,4,5-trisphosphate receptor binding core in complex with its ligand	primary
R06	15664189	10.1016/j.molcel.2004.11.046	2005	Mol Cell	Bosanac I, Yamazaki H, Matsu-Ura T, Michikawa T, Mikoshiba K, Ikura M	Crystal structure of the ligand binding suppressor domain of type 1 inositol 1,4,5-trisphosphate receptor	primary
R07	8381210	10.1038/361315a0	1993	Nature	Berridge MJ	Inositol trisphosphate and calcium signalling	review
R08	7738847	10.1113/jphysiol.1995.sp020703	1995	J Physiol	Yao Y, Choi J, Parker I	Quantal puffs of intracellular Ca2+ evoked by inositol trisphosphate in Xenopus oocytes	primary
R09	9624056	10.1126/science.280.5370.1763	1998	Science	Rizzuto R, Pinton P, Carrington W, Fay FS, Fogarty KE, Lifshitz LM, Tuft RA, Pozzan T	Close contacts with the endoplasmic reticulum as determinants of mitochondrial Ca2+ responses	primary
R10	16982799	10.1083/jcb.200604016	2006	J Cell Biol	Csordas G, Renken C, Varnai P, Walter L, Weaver D, Buttle KF, Balla T, Mannella CA, Hajnoczky G	Structural and functional features and significance of the physical linkage between ER and mitochondria	primary
R11	18955969	10.1038/onc.2008.308	2008	Oncogene	Pinton P, Giorgi C, Siviero R, Zecchini E, Rizzuto R	Calcium and apoptosis: ER-mitochondria Ca2+ transfer in the control of apoptosis	review
R12	31427578	10.1038/s41467-019-11646-3	2019	Nat Commun	Bartok A, Weaver D, Golenar T, Nichtova Z, Katona M, Bansaghi S, Alzayady KJ, Thomas VK, Ando H, Mikoshiba K, Joseph SK, Hajnoczky G	IP3 receptor isoforms differently regulate ER-mitochondrial contacts and local calcium transfer	primary
R13	1648178	10.1038/351751a0	1991	Nature	Bezprozvanny I, Watras J, Ehrlich BE	Bell-shaped calcium-response curves of Ins(1,4,5)P3- and calcium-gated channels from endoplasmic reticulum of cerebellum	primary
R14	9210378	10.1016/s0960-9822(06)00230-5	1997	Curr Biol	Marchant JS, Taylor CW	Cooperative activation of IP3 receptors by sequential binding of IP3 and Ca2+ safeguards against spontaneous activity	primary
R15	27048566	10.1126/scisignal.aad6281	2016	Sci Signal	Alzayady KJ, Wang L, Chandrasekhar R, Wagner LE, Van Petegem F, Yule DI	Defining the stoichiometry of inositol 1,4,5-trisphosphate binding required to initiate Ca2+ release	primary
R16	7686381	10.1016/0896-6273(93)90319-m	1993	Neuron	Bezprozvanny I, Ehrlich BE	ATP modulates the function of inositol 1,4,5-trisphosphate-gated channels at two sites	primary
R17	2847175	10.1073/pnas.85.22.8747	1988	Proc Natl Acad Sci USA	Supattapone S, Danoff SK, Theibert A, Joseph SK, Steiner J, Snyder SH	Cyclic AMP-dependent phosphorylation of a brain inositol trisphosphate receptor decreases its release of calcium	primary
R18	15263017	10.1083/jcb.200402193	2004	J Cell Biol	Chen R, Valencia I, Zhong F, McColl KS, Roderick HL, Bootman MD, Berridge MJ, Conway SJ, Holmes AB, Mignery GA, Sun P, Distelhorst CW	Bcl-2 functionally interacts with inositol 1,4,5-trisphosphate receptors to regulate calcium release from the ER in response to inositol 1,4,5-trisphosphate	primary
R19	12525476	10.1074/jbc.M210119200	2003	J Biol Chem	Ando H, Mizutani A, Matsu-ura T, Mikoshiba K	IRBIT, a novel inositol 1,4,5-trisphosphate (IP3) receptor-binding protein, is released from the IP3 receptor upon IP3 binding to the receptor	primary
R20	15652484	10.1016/j.cell.2004.11.048	2005	Cell	Higo T, Hattori M, Nakamura T, Natsume T, Michikawa T, Mikoshiba K	Subtype-specific and ER lumenal environment-dependent regulation of inositol 1,4,5-trisphosphate receptor type 1 by ERp44	primary
R21	2153079	10.1002/j.1460-2075.1990.tb07386.x	1990	EMBO J	Maeda N, Niinobe M, Mikoshiba K	A cerebellar Purkinje cell marker P400 protein is an inositol 1,4,5-trisphosphate (InsP3) receptor protein. Purification and characterization of InsP3 receptor complex	primary
